序列号,ID,Title,url,images,location,Period,Materials,Measurements,Artist,Credit Line,Type,Description,Illusion
59,F1914.59j,Winter mountains rising from the shore,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1914.59j,https://ids.si.edu/ids/iiif/FS-7410_49/full/full/0/default.jpg,China,1644-1911,Ink and color on silk,H x W (image): 30.4 x 22 cm (11 15/16 x 8 11/16 in),Formerly attributed to Li Cheng 李成 (919-967),Gift of Charles Lang Freer,,,
60,S2012.9.2742,Figure,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.2742,https://ids.si.edu/ids/iiif/FS-7862_47/full/full/0/default.jpg,China,,Jade,H x W x D (overall): 3.8 x 1.8 x 1.1 cm (1 1/2 x 11/16 x 7/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
61,F1911.154b,A Gray horse,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1911.154b,https://ids.si.edu/ids/iiif/FS-7412_03/full/full/0/default.jpg,China,1644-1911,Ink and color on silk,H x W (image): 24.5 x 27.5 cm (9 5/8 x 10 13/16 in),Formerly attributed to Han Gan (ca. 715-after 781),Gift of Charles Lang Freer,,,
62,S2012.9.2770,Male figure,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.2770,https://ids.si.edu/ids/iiif/FS-7833_07/full/full/0/default.jpg,China,,Jade,H x W x D (overall): 7.2 x 3.2 x 2.4 cm (2 13/16 x 1 1/4 x 15/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
63,S1987.463,Disk (bi) with raised hexagons arranged in a grid,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1987.463,https://ids.si.edu/ids/iiif/FS-S1987.463_001/full/full/0/default.jpg,China,206 BCE-9 CE,Jade (nephrite),Diam x D: 14.5 × 0.4 cm (5 11/16 × 1/8 in),,Gift of Arthur M. Sackler,,,
64,FSC-P-781,"Rim fragment, number on piece ""west"" B4f #79",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-781,https://ids.si.edu/ids/iiif/FS-FSC-P-781_1/full/full/0/default.jpg,China,,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,
65,S2012.9.534,"Coarse gray ware pot , fragment with cord-marked decoration",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.534,https://ids.si.edu/ids/iiif/FS-7853_28/full/full/0/default.jpg,China,ca. 1300-1050 BCE,Earthenware,H x W (overall): 7 x 8.1 cm (2 3/4 x 3 3/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
66,F1936.3,Mirror with dragons,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1936.3,https://ids.si.edu/ids/iiif/FS-7775_25/full/full/0/default.jpg,China,5th-4th century BCE,Bronze with gold and silver inlay,Diam x D: 19.7 x 1.5 cm (7 3/4 x 9/16 in),,Purchase — Charles Lang Freer Endowment,,,
67,F1900.42,"Longquan ware bowl, used in Japan as a tea bowl",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1900.42,https://ids.si.edu/ids/iiif/FS-7902_41/full/full/0/default.jpg,"Longquan kilns, Zhejiang province, China",second half 12th century,Stoneware with oxidized celadon glaze; gold lacquer repairs,H x Diam: 7.6 × 17 cm (3 × 6 11/16 in),,Gift of Charles Lang Freer,,,
68,FSC-P-447,Fragment of the lid of a Qingbai-glazed covered box,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-447,https://ids.si.edu/ids/iiif/FS-FSC-P-447_1-000001/full/full/0/default.jpg,"Jingdezhen, Jiangxi province, China",12th-13th century,Porcelain with transparent pale-blue (qingbai) glaze Mold-formed,H x W x D: 0.5 x 4 x 2.8 cm (3/16 x 1 9/16 x 1 1/8 in),,Gift of John A. Pope,,,
69,S2012.9.746,Bead,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.746,https://ids.si.edu/ids/iiif/FS-7674_02/full/full/0/default.jpg,China,,Glass,H x Diam (overall): 1.7 x 1.9 cm (11/16 x 3/4 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
70,FSC-B-605,Spear head,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-B-605,https://ids.si.edu/ids/iiif/FS-FSC-B-605_1-000001/full/full/0/default.jpg,"Yunnan province, China",200 BCE -100 BCE,Bronze,H x W x D: 28 x 4.7 x 2.8 cm (11 x 1 7/8 x 1 1/8 in),,Gift of an anonymous donor,,,
71,F1911.163j,"A horse, two men, and a boy",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1911.163j,https://ids.si.edu/ids/iiif/FS-7271_12/full/full/0/default.jpg,China,1644-1911,Ink and color on silk,H x W (image): 39.4 x 60.9 cm (15 1/2 x 24 in),Traditionally attributed to Zhao Mengfu 趙孟頫 (1254-1322),Gift of Charles Lang Freer,,,
72,F1911.582a-b,Stone gathered from the Yi River at Longmen,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1911.582a-b,https://ids.si.edu/ids/iiif/FS-8009_12/full/full/0/default.jpg,"Longmen, China",ca. 1910,Stone with wood stand,H x W x D: 5.8 x 5 x 2.6 cm (2 5/16 x 1 15/16 x 1 in),,Gift of Charles Lang Freer,,,
73,FSC-B-358,Knife money,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-B-358,https://ids.si.edu/ids/iiif/FS-FSC-B-358_1/full/full/0/default.jpg,China,,Bronze,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,
74,S2012.9.1950,Coin,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.1950,https://ids.si.edu/ids/iiif/FS-7668_40/full/full/0/default.jpg,China,,Bronze,H x Diam (overall): 0.6 x 2.7 cm (1/4 x 1 1/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
75,S2012.9.2329,Halberd blade,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.2329,https://ids.si.edu/ids/iiif/FS-rls4027/full/full/0/default.jpg,China,,Bronze,H x W x D (overall): 19.1 x 12.5 x 0.4 cm (7 1/2 x 4 15/16 x 3/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
76,S2012.9.2265,Plaque,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.2265,https://ids.si.edu/ids/iiif/FS-rls_4272/full/full/0/default.jpg,China,,Bronze,H x W x D (overall): 6 x 3.9 x 0.7 cm (2 3/8 x 1 9/16 x 1/4 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
77,S1987.2a-b,Ritual wine container (fanghu) with interlaced dragons,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1987.2a-b,https://ids.si.edu/ids/iiif/FS-4015-18h/full/full/0/default.jpg,China,771-ca. 700 BCE,Bronze,H x W x D (overall): 74 x 43 x 36.8 cm (29 1/8 x 16 15/16 x 14 1/2 in),,Gift of Arthur M. Sackler,,,
78,FSC-P-3973,"Sherd, whitish body; celadon-green glaze",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-3973,https://ids.si.edu/ids/iiif/FS-FSC-P-3973_1/full/full/0/default.jpg,"Longquan, Zhejiang province, China",,Stoneware with celadon glaze,H x W: 5.7 x 5.1 cm (2 1/4 x 2 in),,Gift of Mary Slusser in memory of Dorothy Shepherd Payer,,,
79,S2005.40,Jar with two vertical ring handles,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2005.40,https://ids.si.edu/ids/iiif/FS-6707_10/full/full/0/default.jpg,"Jingdezhen kilns, Jingdezhen, Jiangxi province, China",14th century,Porcelain with pale blue glaze,H x Diam (overall): 5.4 x 5.6 cm (2 1/8 x 2 3/16 in),,"Gift of Osborne and Gratia Hauge, and Victor and Takako Hauge",,,
80,F1914.107a-b,One of a set of three trays (with F1914.105a-c and F1914.106),https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1914.107a-b,https://ids.si.edu/ids/iiif/FS-7786_26/full/full/0/default.jpg,Japan,1912-1913,"Wood, lacquer, and cloth",H x W x D: 4.1 × 32.4 × 18.2 cm (1 5/8 × 12 3/4 × 7 3/16 in),,Gift of Charles Lang Freer,,,
81,S2012.9.242.2,"Tube (cong琮), one of a pair",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.242.2,https://ids.si.edu/ids/iiif/FS-S2012.9.242.2_001/full/full/0/default.jpg,"Anyang, probably Henan province, China",ca. 1300-ca. 1050 BCE,Marble,H x W x D (overall): 9.6 × 7 × 7.1 cm (3 3/4 × 2 3/4 × 2 13/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
82,F1980.174,River Landscape with Man in a Boat,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1980.174,https://ids.si.edu/ids/iiif/FS-5826_14/full/full/0/default.jpg,China,late 17th-early 18th century,Ink and color on paper,H x W: 74.3 x 35.2 cm (29 1/4 x 13 7/8 in),Copy of Jiang Shijie (1647-1709),"Transfer from the United States Customs Service, Department of the Treasury",,,
83,FSC-B-9,Ceremonial vessel of the type p'an with inscription in 10 characters,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-B-9,https://ids.si.edu/ids/iiif/FS-FSC-B-9_1-000001/full/full/0/default.jpg,China,,Bronze,,,Purchase — Charles Lang Freer Endowment,,,
84,S2012.9.4728,Seal (two sided),https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.4728,https://ids.si.edu/ids/iiif/FS-8137_01/full/full/0/default.jpg,China,206 BCE-220 CE,Bronze,H x W x D (overall): 0.5 x 1.6 x 1.8 cm (3/16 x 5/8 x 11/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
85,S2012.9.1023,Figure of a rabbit,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.1023,https://ids.si.edu/ids/iiif/FS-rls_3177/full/full/0/default.jpg,China,,Jade,H x W x D (overall): 2.6 x 7.5 x 1.8 cm (1 x 2 15/16 x 11/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
86,LTS1985.1.264.40,Necklace bead,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_LTS1985.1.264.40,https://ids.si.edu/ids/iiif/FS-LTS1985.1.264.40_001/full/full/0/default.jpg,China,,Glass,H x Diam (overall): 1.5 x 2.2 cm (9/16 x 7/8 in),,"Long-term loan from the Smithsonian American Art Museum; gift of John Gellatly, 1929.8.264.40",,,
87,F1919.121,Watching the Waves,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1919.121,https://ids.si.edu/ids/iiif/FS-7454_53/full/full/0/default.jpg,China,15th-16th century,Ink on silk,H x W: 111.5 x 34.5 cm (43 7/8 x 13 9/16 in),Traditionally attributed to Xia Gui 夏珪 (active ca. 1195-1230),Gift of Charles Lang Freer,,,
88,F1917.348,Disk (bi璧) with incised glyph and decorated edge,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1917.348,https://ids.si.edu/ids/iiif/FS-F1917.348_001/full/full/0/default.jpg,"Lake Tai region, China",ca. 3300-2250 BCE,Jade (nephrite),Diam x D: 23.6 x 1.4 cm (9 1/4 x 9/16 in),,Gift of Charles Lang Freer,,,
89,S1987.754,Hairpin (faji),https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1987.754,https://ids.si.edu/ids/iiif/FS-6890_07/full/full/0/default.jpg,China,16th-17th centuries,Jade,H x Diam: 16.5 x 2.1 cm (6 1/2 x 13/16 in),,Gift of Arthur M. Sackler,,,
90,S2012.9.472,"""Cowrie shell """,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.472,https://ids.si.edu/ids/iiif/FS-rls_4915/full/full/0/default.jpg,China,,Bone,H x W (overall): 1.9 x 1.5 cm (3/4 x 9/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
91,S2000.126a-b,Scholar's rock,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2000.126a-b,https://ids.si.edu/ids/iiif/FS-5757_08/full/full/0/default.jpg,China,17th-19th century,Limestone with wooden base,H x W x D: 44 x 20 x 21 cm (17 5/16 x 7 7/8 x 8 1/4 in),,Gift of C.C. Wang,,,
92,F1929.14a-b,Covered box with design of paired phoenixes,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1929.14a-b,https://ids.si.edu/ids/iiif/FS-7562_24/full/full/0/default.jpg,"Jingdezhen, Jiangxi province, China",12th-13th century,Porcelain with transparent pale-blue (qingbai) glaze,H x Diam (overall): 3.7 x 9.5 cm (1 7/16 x 3 3/4 in),,Purchase — Charles Lang Freer Endowment,,,
93,F1909.170,Wind and Frost at Wild Goose Pagoda,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1909.170,https://ids.si.edu/ids/iiif/FS-7431_03/full/full/0/default.jpg,China,17th-18th century,Ink on silk,H x W (image): 118 x 63.5 cm (46 7/16 x 25 in),Formerly attributed to Guo Xi (傳)郭熙 (ca. 1001-1090),Gift of Charles Lang Freer,,,
94,FSC-P-1096,Vessel mouth rim or lip (fragment),https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-1096,https://ids.si.edu/ids/iiif/FS-FSC-P-1096_1-000002/full/full/0/default.jpg,"Longquan, Zhejiang province, China",1127-1279,Stoneware with Guan style glaze,,,Gift of C.F. Yau,,,
95,F1992.41,"Pindola Bharadvaja, the First Venerable Luohan 賓度羅跋羅墮闍尊者像",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1992.41,https://ids.si.edu/ids/iiif/FS-6129_07/full/full/0/default.jpg,China,1345,Ink and color on silk,H x W (image): 126.2 x 62.6 cm (49 11/16 x 24 5/8 in),Formerly attributed to Wu Daozi (傳)吳道子 (active ca. 710-760),Gift of Ruth Meyer Epstein,,,
96,F1919.179,"Xuanwu, God of the North",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1919.179,https://ids.si.edu/ids/iiif/FS-7253_34/full/full/0/default.jpg,China,ca. 1500,Ink and color on silk,H x W (image): 57.6 x 46.2 cm (22 11/16 x 18 3/16 in),Formerly attributed to Bai Liangyu (late 12th-early 13th century),Gift of Charles Lang Freer,,,
97,S1990.15,Pleasures of Fishing,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1990.15,https://ids.si.edu/ids/iiif/FS-7426_37/full/full/0/default.jpg,China,1368-1644,Ink and color on silk,H x W (image): 141.5 x 74 cm (55 11/16 x 29 1/8 in),,"Transfer from the National Museum of Natural History, Smithsonian Institution",,,
98,S2012.9.3906a-b,Jar with cover,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.3906a-b,https://ids.si.edu/ids/iiif/FS-7849_30/full/full/0/default.jpg,China,mid 10th-early 12th century,Stoneware with green glaze,H x Diam (overall): 30 x 15 cm (11 13/16 x 5 7/8 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
99,S2012.9.556,"Fitting, fragment with taotie",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.556,https://ids.si.edu/ids/iiif/FS-0258_Singer0223/full/full/0/default.jpg,China,ca. 1050-770 BCE,Earthenware with glaze,H x W x D (overall): 2.7 x 3.7 x 4.6 cm (1 1/16 x 1 7/16 x 1 13/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
100,FSC-P-4185,"Dish, copper green glazed",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-4185,https://ids.si.edu/ids/iiif/FS-FSC-P-4185_1-000001/full/full/0/default.jpg,,220-589,,H x W (overall): 4.3 x 13 cm (1 11/16 x 5 1/8 in),,Gift of the John Hadley Cox Archaeological Study Collection,,,
101,S2012.9.3312,Model of a ladle,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.3312,https://ids.si.edu/ids/iiif/FS-7779_10/full/full/0/default.jpg,China,300-330,Stoneware with green glaze,H x W x D (overall): 7 x 4.5 x 3 cm (2 3/4 x 1 3/4 x 1 3/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
102,S2012.9.4903,Seal,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.4903,https://ids.si.edu/ids/iiif/FS-7665_01/full/full/0/default.jpg,China,,Stone,H x W x D (overall): 8.7 x 4.9 x 2.6 cm (3 7/16 x 1 15/16 x 1 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
103,S2012.9.1255.1,"Ornament in the form of a dragon with raised irregular curls, one of a pair",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.1255.1,https://ids.si.edu/ids/iiif/FS-S2012.9.1255.1_001/full/full/0/default.jpg,China,475-221 BCE,Jade (nephrite),H x W x D (overall): 12.7 x 31 x 0.5 cm (5 x 12 3/16 x 3/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
104,S2012.9.1815,Handle,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.1815,https://ids.si.edu/ids/iiif/FS-rls4490/full/full/0/default.jpg,China,,Bronze,H x W x D (overall): 5.2 x 4 x 2 cm (2 1/16 x 1 9/16 x 13/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
105,S2012.9.130,Axehead (fu),https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.130,https://ids.si.edu/ids/iiif/FS-7647_03/full/full/0/default.jpg,China,ca. 5000-ca. 1700 BCE,Jade,H x W x D (overall): 17.7 x 5.2 x 0.3 cm (6 15/16 x 2 1/16 x 1/8 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
106,S1987.667,Finial in the form of a bird,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1987.667,https://ids.si.edu/ids/iiif/FS-S1987.667_001/full/full/0/default.jpg,"Anyang, Probably Henan province, China",ca. 1300-1050 BCE,Jade (nephrite),H x W x D: 4.7 x 3.5 x 0.9 cm (1 7/8 x 1 3/8 x 3/8 in),,Gift of Arthur M. Sackler,,,
107,F1909.81a-b,Seated Buddha (Shakyamuni) with two disciples,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1909.81a-b,https://ids.si.edu/ids/iiif/FS-7754_27/full/full/0/default.jpg,China,618-907,Stone,H x W x D: 30.5 × 41 × 13.2 cm (12 × 16 1/8 × 5 3/16 in),,Gift of Charles Lang Freer,,,
108,S1987.14,"Vessel (bianhu) with dragons, tigers, and birds in a landscape",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1987.14,https://ids.si.edu/ids/iiif/FS-6077_08/full/full/0/default.jpg,"Possibly Hunan province, China",ca. 100 BCE,Bronze,H x W x D: 27 x 27 x 11.6 cm (10 5/8 x 10 5/8 x 4 9/16 in),,Gift of Arthur M. Sackler,,,
