title,type,date,credit_line,accession_number,image_download_url
Ritual water basin,Vessel,11th century BCE,Gift of Arthur M. Sackler,S1987.316,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6352_10
Gopashtami,Painting,late 19th century,Gift of Karl B. Mann,S1992.18,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1992.18_001
Pendant in the form of a rabbit,Jewelry and Ornament,ca. 1300-ca. 1050 BCE,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",S2012.9.1265,https://ids.si.edu/ids/deliveryService?max=170&id=FS-RLS1997.48.3719_001
Diane Vogt O'Connor Photograph Collection,Collection descriptions,circa 1878-1879,N/A,N/A,https://ids.si.edu/ids/deliveryService?max=170&id=FS-FSA_A1991.03_1r
Geisha Playing at Go,Archival materials,1878,N/A,N/A,https://ids.si.edu/ids/deliveryService?max=170&id=FS-FSA_A1991.03_1r
Plum Garden Kamadaume Yashiki Blonged to Mr Yamamoto Oomori,Archival materials,N/A,N/A,N/A,https://ids.si.edu/ids/deliveryService?max=170&id=FS-FSA_A1991.03_1v
Untitled [two women],Archival materials,1879,N/A,N/A,https://ids.si.edu/ids/deliveryService?max=170&id=FS-FSA_A1991.03_2
Frame for Thayer'sHead,Frame,1888-1889,Gift of Charles Lang Freer,F1890.4b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-F1890.4b
"Frame for Thayer's ""A Virgin""",Frame,1892-1893,Gift of Charles Lang Freer,F1893.11b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-1229_01H_frame
Frame for Dewing'sPortrait of a Young Girl,Frame,1889,Gift of Charles Lang Freer,F1893.1b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-2833_15H_frame
"Frame for Dewing's ""Sappho""",Frame,1894,Gift of Charles Lang Freer,F1894.1b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7393_02
"Frame for Dewing's ""The Pearl"" (recto) and ""Nude figure seated on ground"" (verso)",Frame,ca. 1894,Gift of Charles Lang Freer,F1894.20b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8339_02
Frame for Dewing'sBefore Sunrise,Frame,1894,Gift of Charles Lang Freer,F1894.22b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-F1894.22b
"Frame for Dewing's ""The Pink Dress""",Frame,1894,Gift of Charles Lang Freer,F1894.2b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7393_04
Frame for Dewing'sThe Carnation,Frame,ca. 1896,Gift of Charles Lang Freer,F1896.33b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6770_01_frame
Frame for Dewing'sStudy of a Woman Seated,Frame,1897,Gift of Charles Lang Freer,F1897.13b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6712_04_frame
Original frame for Dewing'sA Portrait,Frame,1907,Gift of Charles Lang Freer,F1902.193b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6770_02_frame
"Satin, embroidered. in the form of a large hanging",Costume and Textile,1852,Gift of Charles Lang Freer,F1902.260,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8542_04
Noh robe fragment (karaori 唐織) 唐織,Costume and Textile,mid 18th century,Gift of Charles Lang Freer,F1902.261,https://ids.si.edu/ids/deliveryService?max=170&id=FS-f1902-261
"Panel with narrative scene, flowers and butterfly for a screen",Costume and Textile,19th century,Gift of Charles Lang Freer,F1902.262,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7739_01
"Panel with narrative scene, flowers and butterfly for a screen",Costume and Textile,19th century,Gift of Charles Lang Freer,F1902.263,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7739_02
"Panel with narrative scene, flowers and butterfly for a screen",Costume and Textile,19th century,Gift of Charles Lang Freer,F1902.264,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7739_03
"Panel with narrative scene, flowers and butterfly for a screen",Costume and Textile,19th century,Gift of Charles Lang Freer,F1902.265,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7739_04
"Panel with narrative scene, flowers and butterfly for a screen",Costume and Textile,1644-1911,Gift of Charles Lang Freer,F1902.266,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7739_05
"Panel with narrative scene, flowers and butterfly for a screen",Costume and Textile,1644-1911,Gift of Charles Lang Freer,F1902.267,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7739_06
Panel with narrative scene and flowers for a screen,Costume and Textile,1644-1911,Gift of Charles Lang Freer,F1902.268,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7739_07
Panel with narrative scene and flowers for a screen,Costume and Textile,1644-1911,Gift of Charles Lang Freer,F1902.269,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7739_08
"Brocade, silk, embroidered",Costume and Textile,19th century,Gift of Charles Lang Freer,F1902.270,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8546_01
"Brocade, silk, embroidered",Costume and Textile,19th century,Gift of Charles Lang Freer,F1902.271,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8546_02
River Landscape,Drawing,1866-1878,Gift of Charles Lang Freer,F1902.278,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5887_04
"Frame for Thayer's ""Monadnock Mountain""",Frame,1902,Gift of Charles Lang Freer,F1902.46b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8339_05
Frame for Thayer'sPortrait of Capri,Frame,1902,Gift of Charles Lang Freer,F1902.47b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5900_05_frame
Buddhist altar (butsudan),Furniture and Furnishing,1615-1868,Gift of Charles Lang Freer,F1903.283,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8535_01
"Brocade, silk velvet",Costume and Textile,N/A,Gift of Charles Lang Freer,F1903.289,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8546_03
Altar bell,Musical Instrument,1185-1333,Gift of Charles Lang Freer,F1903.297,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7786_01
Altar bell,Musical Instrument,N/A,Gift of Charles Lang Freer,F1903.300,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7775_04
Original frame for Whistler'sHarmony in Blue and Gold: The Little Blue Girl,Frame,1894-1903,Gift of Charles Lang Freer,F1903.308,https://ids.si.edu/ids/deliveryService?max=170&id=FS-F1903.308_001
Frame for Twachtman'sDrying Sails,Frame,1906,Gift of Charles Lang Freer,F1903.77b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7352_21_frame
Frame for Thayer'sMonadnock in Winter,Frame,1904,Gift of Charles Lang Freer,F1904.359b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-0777_09H_frame
Figure of a bodhisattva,Sculpture,19th century,Gift of Charles Lang Freer,F1904.362,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7970_12
Frame for Dewing'sPortrait of a Girl,Frame,ca. 1905,Gift of Charles Lang Freer,F1905.101b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-F1905.101b_001
Frame for Dewing'sGirl with Lute,Frame,ca. 1905,Gift of Charles Lang Freer,F1905.2b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5461_02_frame
A makimono box decorated with scenes from the Genji romance,Container,16th century,Gift of Charles Lang Freer,F1905.307a-b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8199_12-000001
Frame for Whistler'sCaprice in Purple and Gold: The Golden Screen,Frame,ca. 1864,Gift of Charles Lang Freer,F1905.329,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6388_06_frame
Reproduction frame by William Adair of a design by Stanford White for Dewing'sSelf Portrait,Frame,ca. 1980,Gift of Charles Lang Freer,F1906.218b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7393_11_frame
Frame for Dewing'sLa Comedienne,Frame,ca. 1906,Gift of Charles Lang Freer,F1906.219b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6771_01_frame
Frame for Dewing'sMandoline,Frame,ca. 1906,Gift of Charles Lang Freer,F1906.220b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6771_02_frame
Washington Manuscript I - Deuteronomy and Joshua (Codex Washingtonensis),Manuscript,early 5th century,Gift of Charles Lang Freer,F1906.272,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7000_01
Washington Manuscript II - The Psalms (Codex Washingtonensis),Manuscript,early 5th century,Gift of Charles Lang Freer,F1906.273,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7024_02
Washington Manuscript IV - The Epistles of Paul (Codex Washingtonensis),Manuscript,6th century,Gift of Charles Lang Freer,F1906.275,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7025_02
Carpet for a chair back with floral medallion and flowers,Costume and Textile,1644-1911,Gift of Charles Lang Freer,F1906.280,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7905_01
"Carpet for a chair back with symbols of longevity, eight immortals, waves, mountain, clouds and dragons chasing flaiming pearls",Costume and Textile,19th century,Gift of Charles Lang Freer,F1906.281,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7905_02
"Carpet for a chair back with symbols of longevity, eight immortals, waves, mountain, clouds and dragons chasing flaming pearls",Costume and Textile,19th century,Gift of Charles Lang Freer,F1906.282,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7905_03
"Carpet for a chair back with a lion, butterflies, flowers, waves, and clouds",Costume and Textile,1644-1911,Gift of Charles Lang Freer,F1906.283,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7905_04
Fragment of a Buddhist robe (kesa),Costume and Textile,late 16th-17th century,Gift of Charles Lang Freer,F1906.317,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8541_01
"Frame for Dewing's ""Study of a Nude Model""",Frame,1910,Gift of Charles Lang Freer,F1906.55b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8339_06
"Frame for Dewing's ""Study of a Young Woman's Head in Two Tones""",Frame,ca. 1906,Gift of Charles Lang Freer,F1906.56b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8339_07
Frame for Thayer'sA Winged Figure,Frame,N/A,Gift of Charles Lang Freer,F1906.59b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7352_23_frame
Frame for Dewing'sThe Piano,Frame,1891-1894,Gift of Charles Lang Freer,F1906.66b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-F1906.66b_001
Frame for Dewing'sThe Blue Dress,Frame,ca. 1892,Gift of Charles Lang Freer,F1906.67b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7393_07_frame
Frame for Dewing'sAfter Sunset,Frame,ca. 1892,Gift of Charles Lang Freer,F1906.68b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6770_04_frame
Frame for Dewing'sEarly Portrait of the Artist's Daughter,Frame,1893,Gift of Charles Lang Freer,F1906.69b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6770_05_frame
Frame for Dewing'sPortrait in Blue,Frame,ca. 1896,Gift of Charles Lang Freer,F1906.70b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6770_06_frame
Frame for Dewing'sPortrait of the Artist's Daughter,Frame,ca. 1906,Gift of Charles Lang Freer,F1906.71b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7393_09_frame
Frame for Thayer'sPortrait of the Artist's Son,Frame,1892,Gift of Charles Lang Freer,F1906.95b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7056_01_frame
Frame for Thayer'sPortrait of the Artist's Eldest Daughter,Frame,1894,Gift of Charles Lang Freer,F1906.96b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6714_05_frame
Frame for Thayer'sDiana,Frame,between 1893-1906,Gift of Charles Lang Freer,F1906.97b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7352_31_frame
Frame for Thayer'sCornish Headlands,Frame,1901,Gift of Charles Lang Freer,F1906.98b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7352_32_frame
Box,Container,18th or 19th century,Gift of Charles Lang Freer,F1907.103a-c,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7917_27
Frame for Dewing'sThe Mirror,Frame,ca. 1895,Gift of Charles Lang Freer,F1907.168b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6771_04_frame
Earring (jhumka),Jewelry and Ornament,19th century,Gift of Charles Lang Freer,F1907.678,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7327_22
Earring (jhumka),Jewelry and Ornament,19th century,Gift of Charles Lang Freer,F1907.679,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6533_05
String of small beads,Jewelry and Ornament,19th century,Gift of Charles Lang Freer,F1907.681,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7327_24
Locket with hinged cover,Jewelry and Ornament,19th century,Gift of Charles Lang Freer,F1907.683,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7314_50
Pendant,Jewelry and Ornament,19th century,Gift of Charles Lang Freer,F1907.684,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7314_53
Pendant,Jewelry and Ornament,19th century,Gift of Charles Lang Freer,F1907.685,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6533_07
Annular-handled object,Jewelry and Ornament,19th century,Gift of Charles Lang Freer,F1907.689,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8075_03
Frame for Homer'sEarly Evening,Frame,1907-1908,Gift of Charles Lang Freer,F1908.14b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7405_12
"Frame for Dewing's ""In Rose""",Frame,ca. 1894(?),Gift of Charles Lang Freer,F1908.172b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8339_08
Frame for Melcher'sPortrait of President Theodore Roosevelt,Frame,1908,Gift of Charles Lang Freer,F1908.17b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7411_01_frame
Rose and Gold: Little Lady Sophie of Soho,Tool and Equipment,1903-1904,Gift of Charles Lang Freer,F1908.247,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5260_02
Silk and wool rug. Four mats joined together,Costume and Textile,1644-1911,Gift of Charles Lang Freer,F1908.249,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8546_07
Frame for Dewing'sYellow Tulips,Frame,ca. 1908,Gift of Charles Lang Freer,F1908.27b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6771_05_frame
"Partial Psalter, 126 fragmentary leaves",Manuscript,5th century?,Gift of Charles Lang Freer,F1908.32,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7060_04
Small portion of the Gospel of Matthew,Manuscript,5th century?,Gift of Charles Lang Freer,F1908.34,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8352_09
Unidentified text on three large leaves and four pieces,Manuscript,N/A,Gift of Charles Lang Freer,F1908.35,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8352_10
Fly leaf with pen trials,Manuscript,N/A,Gift of Charles Lang Freer,F1908.36,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8352_12
"Sahidic text, possibly magic",Manuscript,N/A,Gift of Charles Lang Freer,F1908.37,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8352_13
"Text (defective), possibly magical on three small pieces of skin",Manuscript,N/A,Gift of Charles Lang Freer,F1908.38,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8352_14
Three pieces of papyrus with unidentified text,Manuscript,N/A,Gift of Charles Lang Freer,F1908.39,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8352_15
"Fly-leaf from a book, with a drawing of Christ and an inscription",Manuscript,5th century?,Gift of Charles Lang Freer,F1908.40,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8352_16
Single Folio of magical text,Manuscript,N/A,Gift of Charles Lang Freer,F1908.41,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8352_17
Part of a book cover,Manuscript,N/A,Gift of Charles Lang Freer,F1908.42,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8353_01
Part of a page,Manuscript,N/A,Gift of Charles Lang Freer,F1908.43,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8353_02
Financial document,Manuscript,7th-8th century,Gift of Charles Lang Freer,F1908.45.10,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8354_01
Two legal documents 2 parts under glass,Manuscript,3rd-8th century,Gift of Charles Lang Freer,F1908.45.11a,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8354_02
Three legal documents mounted under glass,Manuscript,3rd-8th century,Gift of Charles Lang Freer,F1908.45.11b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8354_03
Drawing of Coptic magical figures,Manuscript,8th-9th century,Gift of Charles Lang Freer,F1908.45.12,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8354_04
Parchment fragment with a winged magical figure,Manuscript,8th-9th century,Gift of Charles Lang Freer,F1908.45.13,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8354_05
Numerous papyrus fragments contained in box,Manuscript,N/A,Gift of Charles Lang Freer,F1908.45.14a,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8354_06
Numerous papyrus fragments contained in box,Manuscript,N/A,Gift of Charles Lang Freer,F1908.45.14b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8354_07
Land register of the village of Aphrodito,Manuscript,500-525,Gift of Charles Lang Freer,F1908.45.1a-j,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8353_03
Land register of the village of Aphrodito,Manuscript,500-525,Gift of Charles Lang Freer,F1908.45.2a-d,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8353_13
Budget of the city of Antaeopolis,Manuscript,mid 6th century,Gift of Charles Lang Freer,F1908.45.3a-b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8353_17
